Time_step: 509, MeanReward[31]: -2.69
Time_step: 37618, MeanReward[3]: 313.11
Time_step: 38065, MeanReward[3]: 240.98
Time_step: 38610, MeanReward[3]: 229.04
Time_step: 39205, MeanReward[3]: 230.67
Time_step: 39649, MeanReward[1]: 322.65
Time_step: 40115, MeanReward[3]: 179.08
Time_step: 40583, MeanReward[3]: 236.40
Time_step: 41117, MeanReward[3]: 298.53
Time_step: 41573, MeanReward[2]: 334.84
Time_step: 42392, MeanReward[3]: 404.80
Time_step: 42523, MeanReward[1]: 208.85
Time_step: 43285, MeanReward[3]: 300.55
Time_step: 43579, MeanReward[1]: 447.66
Time_step: 44041, MeanReward[3]: 273.86
Time_step: 44511, MeanReward[2]: 358.24
Time_step: 45209, MeanReward[3]: 103.86
Time_step: 45534, MeanReward[2]: 264.18
Time_step: 46039, MeanReward[3]: 283.96
Time_step: 46639, MeanReward[3]: 313.34
Time_step: 47069, MeanReward[2]: 342.53
Time_step: 47701, MeanReward[3]: 170.91
Time_step: 48116, MeanReward[2]: 205.94
Time_step: 48800, MeanReward[3]: 338.21
Time_step: 49085, MeanReward[1]: 169.24
Time_step: 49513, MeanReward[2]: 345.58
Time_step: 50178, MeanReward[4]: 224.01
Time_step: 50730, MeanReward[2]: 421.95
Time_step: 51078, MeanReward[2]: 316.69
Time_step: 51565, MeanReward[2]: 354.41
Time_step: 52011, MeanReward[3]: 273.42
Time_step: 52734, MeanReward[3]: 359.54
Time_step: 53111, MeanReward[2]: 311.00
Time_step: 53673, MeanReward[3]: 143.17
Time_step: 54011, MeanReward[1]: 468.96
Time_step: 54703, MeanReward[4]: 301.02
Time_step: 55108, MeanReward[2]: 87.47
Time_step: 55737, MeanReward[3]: 322.87
Time_step: 56214, MeanReward[2]: 365.68
Time_step: 56656, MeanReward[2]: 98.55
Time_step: 57257, MeanReward[3]: 314.74
Time_step: 57653, MeanReward[2]: 326.25
Time_step: 58127, MeanReward[2]: 239.59
Time_step: 58667, MeanReward[3]: 318.82
Time_step: 59176, MeanReward[2]: 393.20
Time_step: 59624, MeanReward[2]: 343.22
Time_step: 60128, MeanReward[3]: 293.49
Time_step: 60771, MeanReward[3]: 331.22
Time_step: 61017, MeanReward[1]: 361.89
Time_step: 61624, MeanReward[3]: 337.59
Time_step: 62033, MeanReward[2]: 330.50
Time_step: 62562, MeanReward[2]: 396.26
Time_step: 63024, MeanReward[2]: 350.44
Time_step: 63643, MeanReward[3]: 323.53
Time_step: 64092, MeanReward[2]: 345.36
Time_step: 64766, MeanReward[2]: 460.19
Time_step: 65186, MeanReward[2]: 323.72
Time_step: 65532, MeanReward[2]: 305.33
Time_step: 66166, MeanReward[3]: 252.53
Time_step: 66641, MeanReward[3]: 266.20
Time_step: 67111, MeanReward[3]: 272.41
Time_step: 67608, MeanReward[3]: 274.93
Time_step: 68170, MeanReward[3]: 314.83
Time_step: 68580, MeanReward[2]: 335.86
Time_step: 69129, MeanReward[3]: 311.21
Time_step: 69513, MeanReward[2]: 316.48
Time_step: 70078, MeanReward[3]: 314.53
Time_step: 70742, MeanReward[3]: 348.60
Time_step: 71195, MeanReward[2]: 361.57
Time_step: 71616, MeanReward[2]: 331.46
Time_step: 72087, MeanReward[2]: 359.48
Time_step: 72537, MeanReward[3]: 193.91
Time_step: 73166, MeanReward[3]: 311.57
Time_step: 73600, MeanReward[2]: 335.87
Time_step: 74100, MeanReward[3]: 269.15
Time_step: 74501, MeanReward[2]: 327.94
Time_step: 75038, MeanReward[3]: 305.44
Time_step: 75737, MeanReward[3]: 361.64
Time_step: 76208, MeanReward[2]: 357.10
Time_step: 76608, MeanReward[2]: 311.29
Time_step: 77106, MeanReward[2]: 390.47
Time_step: 77629, MeanReward[3]: 296.17
Time_step: 78101, MeanReward[3]: 281.57
Time_step: 78577, MeanReward[3]: 273.69
Time_step: 79022, MeanReward[2]: 352.31
Time_step: 79661, MeanReward[3]: 342.39
Time_step: 80007, MeanReward[2]: 298.05
Time_step: 80662, MeanReward[4]: 227.82
Time_step: 81086, MeanReward[2]: 348.96
Time_step: 81674, MeanReward[3]: 328.78
Time_step: 82038, MeanReward[2]: 306.59
Time_step: 82549, MeanReward[3]: 282.82
Time_step: 83193, MeanReward[3]: 356.17
Time_step: 83534, MeanReward[2]: 291.71
Time_step: 84225, MeanReward[3]: 353.37
Time_step: 84620, MeanReward[2]: 319.58
Time_step: 85016, MeanReward[2]: 331.33
Time_step: 85620, MeanReward[3]: 329.76
Time_step: 86026, MeanReward[2]: 337.74
Time_step: 86559, MeanReward[3]: 308.75
Time_step: 87224, MeanReward[3]: 356.70
Time_step: 87542, MeanReward[2]: 283.90
Time_step: 88153, MeanReward[2]: 188.32
Time_step: 88815, MeanReward[3]: 357.75
Time_step: 89173, MeanReward[2]: 320.23
Time_step: 89664, MeanReward[2]: 382.28
Time_step: 90017, MeanReward[2]: 310.29
Time_step: 90569, MeanReward[2]: 428.64
Time_step: 91025, MeanReward[2]: 376.95
Time_step: 91583, MeanReward[3]: 310.98
Time_step: 92057, MeanReward[2]: 365.30
Time_step: 92597, MeanReward[3]: 308.45
Time_step: 93006, MeanReward[2]: 360.52
Time_step: 93609, MeanReward[3]: 239.62
Time_step: 94138, MeanReward[3]: 328.25
Time_step: 94564, MeanReward[2]: 361.57
Time_step: 95061, MeanReward[3]: 297.63
Time_step: 95608, MeanReward[3]: 313.99
Time_step: 96201, MeanReward[3]: 358.08
Time_step: 96592, MeanReward[2]: 340.64
Time_step: 97036, MeanReward[2]: 375.68
Time_step: 97583, MeanReward[3]: 326.87
Time_step: 98011, MeanReward[2]: 354.16
Time_step: 98547, MeanReward[3]: 327.04
Time_step: 99004, MeanReward[2]: 388.73
Time_step: 99541, MeanReward[3]: 322.47
MoviePy - Building video /home/mzoellner/Projects/research/guided-rl/runs/walker2d/20251105-035754/videos/walker2d/humanoid_eval-episode-0.mp4.
MoviePy - Writing video /home/mzoellner/Projects/research/guided-rl/runs/walker2d/20251105-035754/videos/walker2d/humanoid_eval-episode-0.mp4
[34m[1mwandb[0m: [33mWARNING[0m `format` argument was not provided, defaulting to `gif`. This parameter will be required in v0.20.0, please specify the format explicitly.

MoviePy - Done !
MoviePy - video ready /home/mzoellner/Projects/research/guided-rl/runs/walker2d/20251105-035754/videos/walker2d/humanoid_eval-episode-0.mp4
Eval num_timesteps=100000, episode_reward=350.27 +/- 0.00
Episode length: 165.00 +/- 0.00
New best mean reward!
Time_step: 100063, MeanReward[3]: 320.88
Time_step: 100596, MeanReward[3]: 301.92
Time_step: 101082, MeanReward[3]: 320.04
Time_step: 101658, MeanReward[3]: 341.36
Time_step: 102173, MeanReward[3]: 304.88
Time_step: 102579, MeanReward[2]: 375.73
Time_step: 103253, MeanReward[3]: 408.17
Time_step: 103631, MeanReward[2]: 349.90
Time_step: 104182, MeanReward[3]: 256.11
Time_step: 104544, MeanReward[2]: 345.61
Time_step: 105026, MeanReward[2]: 408.82
Time_step: 105560, MeanReward[3]: 345.17
Time_step: 106170, MeanReward[3]: 347.91
Time_step: 106601, MeanReward[2]: 385.51
Time_step: 107016, MeanReward[2]: 359.16
Time_step: 107535, MeanReward[2]: 435.20
Time_step: 108057, MeanReward[3]: 341.05
Time_step: 108547, MeanReward[3]: 326.57
Time_step: 109156, MeanReward[3]: 283.51
Time_step: 109745, MeanReward[2]: 465.27
Time_step: 110082, MeanReward[2]: 328.68
Time_step: 110585, MeanReward[3]: 342.06
Time_step: 111199, MeanReward[3]: 378.53
Time_step: 111511, MeanReward[2]: 294.34
Time_step: 112201, MeanReward[3]: 409.46
Time_step: 112693, MeanReward[2]: 442.02
Time_step: 113089, MeanReward[2]: 373.72
Time_step: 113672, MeanReward[3]: 375.27
Time_step: 114072, MeanReward[2]: 355.15
Time_step: 114526, MeanReward[2]: 407.47
Time_step: 115200, MeanReward[3]: 305.53
Time_step: 115586, MeanReward[2]: 374.47
Time_step: 116030, MeanReward[2]: 433.78
Time_step: 116673, MeanReward[3]: 401.16
Time_step: 117050, MeanReward[2]: 372.16
Time_step: 117674, MeanReward[3]: 394.82
Time_step: 118085, MeanReward[2]: 385.20
Time_step: 118655, MeanReward[3]: 358.05
Time_step: 119234, MeanReward[2]: 467.26
Time_step: 119599, MeanReward[2]: 384.33
Time_step: 120151, MeanReward[3]: 356.10
Time_step: 120521, MeanReward[2]: 376.88
Time_step: 121110, MeanReward[3]: 378.86
Time_step: 121665, MeanReward[2]: 505.40
Time_step: 122049, MeanReward[2]: 371.06
Time_step: 122530, MeanReward[2]: 429.07
Time_step: 123133, MeanReward[3]: 410.19
Time_step: 123568, MeanReward[2]: 412.96
Time_step: 124003, MeanReward[2]: 420.64
Time_step: 124648, MeanReward[3]: 397.16
Time_step: 125038, MeanReward[2]: 386.01
Time_step: 125601, MeanReward[3]: 365.64
Time_step: 126205, MeanReward[3]: 405.02
Time_step: 126604, MeanReward[2]: 403.46
Time_step: 127123, MeanReward[2]: 442.77
Time_step: 127651, MeanReward[2]: 517.84
Time_step: 128025, MeanReward[2]: 366.41
Time_step: 128679, MeanReward[3]: 391.67
Time_step: 129036, MeanReward[1]: 548.44
Time_step: 129717, MeanReward[3]: 428.46
Time_step: 130151, MeanReward[2]: 376.76
Time_step: 130544, MeanReward[2]: 366.09
Time_step: 131182, MeanReward[3]: 412.88
Time_step: 131607, MeanReward[2]: 407.96
Time_step: 132097, MeanReward[2]: 444.71
Time_step: 132671, MeanReward[3]: 404.48
Time_step: 133110, MeanReward[2]: 413.56
Time_step: 133508, MeanReward[2]: 383.24
Time_step: 134113, MeanReward[3]: 389.72
Time_step: 134539, MeanReward[2]: 432.07
Time_step: 135160, MeanReward[3]: 404.69
Time_step: 135637, MeanReward[2]: 433.04
Time_step: 136037, MeanReward[2]: 406.60
Time_step: 136651, MeanReward[3]: 426.07
Time_step: 137022, MeanReward[2]: 382.03
Time_step: 137697, MeanReward[3]: 450.63
Time_step: 138160, MeanReward[2]: 448.82
Time_step: 138608, MeanReward[2]: 407.11
Time_step: 139017, MeanReward[2]: 409.48
Time_step: 139685, MeanReward[3]: 444.54
Time_step: 140104, MeanReward[2]: 433.28
Time_step: 140675, MeanReward[3]: 389.56
Time_step: 141126, MeanReward[2]: 424.51
Time_step: 141561, MeanReward[2]: 279.12
Time_step: 142187, MeanReward[3]: 414.28
Time_step: 142576, MeanReward[2]: 391.25
Time_step: 143147, MeanReward[3]: 385.59
Time_step: 143523, MeanReward[2]: 376.89
Time_step: 144114, MeanReward[3]: 406.75
Time_step: 144713, MeanReward[3]: 408.86
Time_step: 145148, MeanReward[2]: 441.91
Time_step: 145573, MeanReward[2]: 441.07
Time_step: 146171, MeanReward[3]: 413.09
Time_step: 146542, MeanReward[2]: 371.11
Time_step: 147044, MeanReward[2]: 471.92
Time_step: 147697, MeanReward[3]: 436.83
Time_step: 148097, MeanReward[2]: 411.62
Time_step: 148557, MeanReward[2]: 443.12
Time_step: 149179, MeanReward[3]: 422.85
Time_step: 149659, MeanReward[2]: 456.37
Time_step: 150018, MeanReward[2]: 387.07
Time_step: 150619, MeanReward[3]: 410.47
Time_step: 151020, MeanReward[2]: 399.43
Time_step: 151578, MeanReward[3]: 394.26
Time_step: 152208, MeanReward[3]: 428.13
Time_step: 152601, MeanReward[2]: 399.77
Time_step: 153230, MeanReward[3]: 405.58
Time_step: 153725, MeanReward[2]: 487.41
Time_step: 154112, MeanReward[2]: 397.05
Time_step: 154514, MeanReward[2]: 407.29
Time_step: 155114, MeanReward[3]: 404.54
Time_step: 155527, MeanReward[2]: 419.29
Time_step: 156091, MeanReward[3]: 398.13
Time_step: 156630, MeanReward[3]: 360.68
Time_step: 157060, MeanReward[2]: 420.28
Time_step: 157732, MeanReward[3]: 449.90
Time_step: 158158, MeanReward[2]: 449.93
Time_step: 158587, MeanReward[2]: 417.53
Time_step: 159248, MeanReward[3]: 431.11
Time_step: 159675, MeanReward[2]: 432.16
Time_step: 160176, MeanReward[2]: 486.99
Time_step: 160558, MeanReward[2]: 432.60
Time_step: 161152, MeanReward[3]: 403.81
Time_step: 161561, MeanReward[2]: 456.55
Time_step: 162219, MeanReward[3]: 330.65
Time_step: 162615, MeanReward[2]: 392.22
Time_step: 163095, MeanReward[2]: 459.59
Time_step: 163612, MeanReward[3]: 365.54
Time_step: 164199, MeanReward[3]: 423.82
Time_step: 164740, MeanReward[2]: 489.09
Time_step: 165123, MeanReward[2]: 399.81
Time_step: 165673, MeanReward[3]: 378.03
Time_step: 166055, MeanReward[2]: 406.28
Time_step: 166752, MeanReward[3]: 452.03
Time_step: 167142, MeanReward[2]: 387.13
Time_step: 167512, MeanReward[2]: 413.45
Time_step: 168045, MeanReward[3]: 380.83
Time_step: 168666, MeanReward[3]: 442.82
Time_step: 169113, MeanReward[2]: 495.97
Time_step: 169517, MeanReward[2]: 432.90
Time_step: 170146, MeanReward[3]: 428.95
Time_step: 170592, MeanReward[2]: 477.23
Time_step: 171129, MeanReward[3]: 396.87
Time_step: 171546, MeanReward[2]: 462.38
Time_step: 172141, MeanReward[3]: 449.24
Time_step: 172508, MeanReward[2]: 436.15
Time_step: 173086, MeanReward[3]: 438.42
Time_step: 173524, MeanReward[2]: 449.58
Time_step: 174143, MeanReward[3]: 466.25
Time_step: 174682, MeanReward[3]: 383.02
Time_step: 175097, MeanReward[2]: 459.59
Time_step: 175537, MeanReward[2]: 492.66
Time_step: 176056, MeanReward[3]: 385.52
Time_step: 176635, MeanReward[3]: 418.57
Time_step: 177131, MeanReward[3]: 343.67
Time_step: 177663, MeanReward[3]: 393.60
Time_step: 178040, MeanReward[2]: 435.95
Time_step: 178607, MeanReward[3]: 402.74
Time_step: 179149, MeanReward[3]: 400.96
Time_step: 179508, MeanReward[2]: 426.66
Time_step: 180259, MeanReward[3]: 571.55
Time_step: 180624, MeanReward[2]: 392.23
Time_step: 181054, MeanReward[2]: 466.03
Time_step: 181550, MeanReward[3]: 379.88
Time_step: 182163, MeanReward[3]: 455.98
Time_step: 182533, MeanReward[2]: 400.15
Time_step: 183190, MeanReward[3]: 361.27
Time_step: 183571, MeanReward[2]: 430.46
Time_step: 184132, MeanReward[3]: 431.33
Time_step: 184504, MeanReward[2]: 430.53
Time_step: 185148, MeanReward[3]: 516.34
Time_step: 185598, MeanReward[2]: 560.73
Time_step: 186172, MeanReward[3]: 454.19
Time_step: 186521, MeanReward[2]: 400.40
Time_step: 187119, MeanReward[3]: 489.72
Time_step: 187693, MeanReward[3]: 438.94
Time_step: 188092, MeanReward[2]: 458.39
Time_step: 188697, MeanReward[3]: 477.18
Time_step: 189080, MeanReward[2]: 426.86
Time_step: 189617, MeanReward[3]: 409.70
Time_step: 190032, MeanReward[2]: 522.60
Time_step: 190583, MeanReward[3]: 463.36
Time_step: 191108, MeanReward[3]: 405.93
Time_step: 191618, MeanReward[3]: 394.68
Time_step: 192011, MeanReward[2]: 280.17
Time_step: 192591, MeanReward[3]: 421.04
Time_step: 193168, MeanReward[3]: 456.77
Time_step: 193650, MeanReward[2]: 580.90
Time_step: 194051, MeanReward[2]: 448.74
Time_step: 194623, MeanReward[3]: 505.29
Time_step: 195213, MeanReward[2]: 617.11
Time_step: 195540, MeanReward[2]: 377.88
Time_step: 196124, MeanReward[3]: 494.59
Time_step: 196631, MeanReward[3]: 397.96
Time_step: 197178, MeanReward[3]: 421.77
Time_step: 197578, MeanReward[2]: 454.01
Time_step: 198080, MeanReward[3]: 392.21
Time_step: 198623, MeanReward[3]: 429.91
Time_step: 199182, MeanReward[3]: 445.22
Time_step: 199568, MeanReward[2]: 519.92
MoviePy - Building video /home/mzoellner/Projects/research/guided-rl/runs/walker2d/20251105-035754/videos/walker2d/humanoid_eval-episode-1.mp4.
MoviePy - Writing video /home/mzoellner/Projects/research/guided-rl/runs/walker2d/20251105-035754/videos/walker2d/humanoid_eval-episode-1.mp4
[34m[1mwandb[0m: [33mWARNING[0m `format` argument was not provided, defaulting to `gif`. This parameter will be required in v0.20.0, please specify the format explicitly.

MoviePy - Done !
MoviePy - video ready /home/mzoellner/Projects/research/guided-rl/runs/walker2d/20251105-035754/videos/walker2d/humanoid_eval-episode-1.mp4
Eval num_timesteps=200000, episode_reward=754.95 +/- 0.00
Episode length: 281.00 +/- 0.00
New best mean reward!
Time_step: 200117, MeanReward[3]: 396.71
Time_step: 200652, MeanReward[3]: 406.18
Time_step: 201070, MeanReward[2]: 543.01
Time_step: 201594, MeanReward[3]: 407.99
Time_step: 202268, MeanReward[3]: 585.70
Time_step: 202508, MeanReward[1]: 587.12
Time_step: 203054, MeanReward[3]: 437.51
Time_step: 203563, MeanReward[2]: 605.69
Time_step: 204123, MeanReward[3]: 399.34
Time_step: 204677, MeanReward[3]: 417.32
Time_step: 205167, MeanReward[2]: 639.14
Time_step: 205585, MeanReward[2]: 546.99
Time_step: 206120, MeanReward[3]: 425.51
Time_step: 206507, MeanReward[2]: 513.04
Time_step: 207041, MeanReward[2]: 696.49
Time_step: 207519, MeanReward[2]: 577.08
Time_step: 208056, MeanReward[3]: 457.94
Time_step: 208563, MeanReward[2]: 661.67
Time_step: 209099, MeanReward[3]: 474.84
Time_step: 209632, MeanReward[2]: 558.98
Time_step: 210030, MeanReward[2]: 443.00
Time_step: 210532, MeanReward[2]: 604.14
Time_step: 211220, MeanReward[3]: 594.32
Time_step: 211684, MeanReward[2]: 641.86
Time_step: 212127, MeanReward[2]: 552.99
Time_step: 212570, MeanReward[2]: 614.11
Time_step: 213015, MeanReward[3]: 353.61
Time_step: 213607, MeanReward[3]: 516.95
Time_step: 214311, MeanReward[2]: 950.89
Time_step: 214556, MeanReward[1]: 675.24
Time_step: 215068, MeanReward[2]: 688.40
Time_step: 215556, MeanReward[3]: 398.93
Time_step: 216106, MeanReward[3]: 437.49
Time_step: 216638, MeanReward[2]: 666.66
Time_step: 217056, MeanReward[2]: 516.81
Time_step: 217638, MeanReward[2]: 713.43
Time_step: 218049, MeanReward[2]: 542.54
Time_step: 218796, MeanReward[2]: 976.60
Time_step: 219029, MeanReward[1]: 688.88
Time_step: 219764, MeanReward[3]: 673.56
Time_step: 220054, MeanReward[1]: 780.61
Time_step: 220705, MeanReward[3]: 522.47
Time_step: 221242, MeanReward[1]: 1306.35
Time_step: 221894, MeanReward[2]: 849.58
Time_step: 222077, MeanReward[1]: 428.74
Time_step: 222560, MeanReward[2]: 686.74
Time_step: 223189, MeanReward[3]: 546.00
Time_step: 223605, MeanReward[1]: 1084.61
Time_step: 224041, MeanReward[2]: 533.30
Time_step: 224662, MeanReward[3]: 554.12
Time_step: 225027, MeanReward[2]: 443.98
Time_step: 225713, MeanReward[2]: 811.95
Time_step: 226183, MeanReward[2]: 637.62
Time_step: 226569, MeanReward[2]: 497.68
Time_step: 227098, MeanReward[2]: 665.36
Time_step: 227584, MeanReward[2]: 568.23
Time_step: 228042, MeanReward[2]: 594.00
Time_step: 228558, MeanReward[1]: 1380.65
Time_step: 229123, MeanReward[2]: 760.70
Time_step: 229807, MeanReward[2]: 828.57
Time_step: 230329, MeanReward[1]: 1357.15
Time_step: 230601, MeanReward[1]: 794.98
Time_step: 231142, MeanReward[2]: 697.92
Time_step: 231816, MeanReward[2]: 970.96
Time_step: 232035, MeanReward[1]: 548.31
Time_step: 232652, MeanReward[3]: 520.36
Time_step: 233064, MeanReward[2]: 557.01
Time_step: 233723, MeanReward[3]: 562.41
Time_step: 234059, MeanReward[2]: 437.24
Time_step: 234555, MeanReward[2]: 694.25
Time_step: 235086, MeanReward[2]: 786.10
Time_step: 235843, MeanReward[2]: 970.20
Time_step: 236046, MeanReward[1]: 417.77
Time_step: 236660, MeanReward[2]: 788.60
Time_step: 237180, MeanReward[2]: 749.47
Time_step: 237650, MeanReward[2]: 610.49
Time_step: 238179, MeanReward[3]: 423.68
Time_step: 238733, MeanReward[2]: 826.94
Time_step: 239104, MeanReward[2]: 525.15
Time_step: 239551, MeanReward[2]: 571.85
Time_step: 240015, MeanReward[1]: 1256.27
Time_step: 240656, MeanReward[3]: 597.76
Time_step: 241253, MeanReward[2]: 867.54
Time_step: 241797, MeanReward[2]: 779.05
Time_step: 242623, MeanReward[2]: 1104.88
Time_step: 242861, MeanReward[1]: 679.03
Time_step: 243156, MeanReward[1]: 779.71
Time_step: 243737, MeanReward[2]: 772.87
Time_step: 244078, MeanReward[1]: 976.61
Time_step: 244734, MeanReward[2]: 915.42
Time_step: 245073, MeanReward[1]: 976.14
Time_step: 245764, MeanReward[3]: 602.25
Time_step: 246031, MeanReward[1]: 811.03
Time_step: 246580, MeanReward[2]: 765.55
Time_step: 247096, MeanReward[2]: 672.56
Time_step: 247813, MeanReward[2]: 984.49
Time_step: 248096, MeanReward[1]: 883.95
Time_step: 248689, MeanReward[2]: 839.43
Time_step: 249753, MeanReward[2]: 1399.81
Time_step: 250247, MeanReward[1]: 1297.89
Time_step: 250571, MeanReward[1]: 887.78
Time_step: 250807, MeanReward[1]: 662.53
Time_step: 251302, MeanReward[1]: 1382.84
Time_step: 251508, MeanReward[1]: 483.65
Time_step: 252838, MeanReward[2]: 1781.98
Time_step: 253275, MeanReward[1]: 1330.27
Time_step: 253468, MeanReward[1]: 452.92
Time_step: 253724, MeanReward[1]: 676.57
Time_step: 254075, MeanReward[2]: 451.63
Time_step: 254542, MeanReward[2]: 665.06
Time_step: 255186, MeanReward[2]: 850.61
Time_step: 256044, MeanReward[2]: 953.96
Time_step: 256331, MeanReward[1]: 768.82
Time_step: 256580, MeanReward[1]: 747.73
Time_step: 257032, MeanReward[1]: 1098.48
Time_step: 257547, MeanReward[2]: 746.57
Time_step: 258043, MeanReward[2]: 613.11
Time_step: 258663, MeanReward[2]: 946.22
Time_step: 259593, MeanReward[1]: 2566.34
Time_step: 259833, MeanReward[1]: 656.01
Time_step: 260535, MeanReward[1]: 2122.10
Time_step: 261177, MeanReward[1]: 1746.69
Time_step: 261696, MeanReward[1]: 1214.28
Time_step: 262303, MeanReward[1]: 1574.46
Time_step: 262556, MeanReward[1]: 748.56
Time_step: 262762, MeanReward[1]: 562.15
Time_step: 263002, MeanReward[1]: 597.38
Time_step: 263673, MeanReward[1]: 1943.14
Time_step: 264155, MeanReward[1]: 1256.94
Time_step: 264769, MeanReward[3]: 598.23
Time_step: 265388, MeanReward[1]: 1787.51
Time_step: 266077, MeanReward[1]: 1883.31
Time_step: 267077, MeanReward[1]: 2552.47
Time_step: 267404, MeanReward[1]: 960.29
Time_step: 268005, MeanReward[1]: 1533.24
Time_step: 269005, MeanReward[1]: 2620.48
Time_step: 269535, MeanReward[1]: 1633.35
Time_step: 270535, MeanReward[1]: 2518.68
Time_step: 270678, MeanReward[1]: 382.53
Time_step: 270841, MeanReward[1]: 449.29
Time_step: 271620, MeanReward[1]: 2047.74
Time_step: 271946, MeanReward[1]: 944.08
Time_step: 272239, MeanReward[1]: 803.70
Time_step: 272625, MeanReward[1]: 1129.03
Time_step: 273575, MeanReward[1]: 2726.75
Time_step: 274028, MeanReward[1]: 1316.89
Time_step: 274183, MeanReward[1]: 421.69
Time_step: 274474, MeanReward[1]: 900.65
Time_step: 274739, MeanReward[1]: 691.04
Time_step: 275056, MeanReward[1]: 955.82
Time_step: 275362, MeanReward[1]: 929.41
Time_step: 275559, MeanReward[1]: 482.68
Time_step: 276148, MeanReward[2]: 868.25
Time_step: 276796, MeanReward[2]: 918.96
Time_step: 277102, MeanReward[1]: 898.36
Time_step: 277669, MeanReward[1]: 1531.36
Time_step: 278211, MeanReward[2]: 771.94
Time_step: 279238, MeanReward[2]: 1304.43
Time_step: 279588, MeanReward[1]: 1023.31
Time_step: 280157, MeanReward[1]: 1784.86
Time_step: 280652, MeanReward[1]: 1374.96
Time_step: 280877, MeanReward[1]: 682.70
Time_step: 281332, MeanReward[1]: 1388.07
Time_step: 281586, MeanReward[1]: 660.12
Time_step: 282133, MeanReward[1]: 1474.24
Time_step: 282869, MeanReward[2]: 1054.15
Time_step: 283440, MeanReward[1]: 1580.59
Time_step: 283874, MeanReward[1]: 1331.92
Time_step: 284081, MeanReward[1]: 530.21
Time_step: 284778, MeanReward[2]: 711.40
Time_step: 285024, MeanReward[1]: 680.36
Time_step: 285546, MeanReward[2]: 741.46
Time_step: 286713, MeanReward[3]: 1018.39
Time_step: 287068, MeanReward[1]: 832.10
Time_step: 287589, MeanReward[1]: 1433.14
Time_step: 287874, MeanReward[1]: 841.50
